epoch,loss_train,ave_loss_train,loss_val,ave_loss_val,loss_test,ave_loss_test,auprc_avg_train,auprc_med_train,auprc_avg_val,auprc_med_val,auprc_avg_test,auprc_med_test
10, 27.159748,0.13184343,11.896217,0.115497254,15.263531,0.14818962,nan,nan,nan,nan,0.21181301241045536,0.17286949093827533
20, 26.976542,0.13095409,12.336662,0.11977342,14.63988,0.14213476,nan,nan,nan,nan,0.21537874130742335,0.18705838833372823
30, 27.279125,0.13242294,12.13804,0.11784504,15.141086,0.14700083,nan,nan,nan,nan,0.21453957022443812,0.18812496996400238
40, 26.459747,0.12844537,12.087615,0.11735549,14.37213,0.13953525,nan,nan,nan,nan,0.2148939650563524,0.1897793046470639
50, 27.050114,0.13131124,12.754942,0.12383439,14.29517,0.13878806,nan,nan,nan,nan,0.2161994698742503,0.19040559619690547
60, 26.385456,0.12808473,11.903196,0.11556501,14.482258,0.14060445,nan,nan,nan,nan,0.2116541264511508,0.17604496337850384
70, 26.557724,0.12892099,12.405707,0.12044376,14.152017,0.13739821,nan,nan,nan,nan,0.21849481128076323,0.18000279583798934
80, 26.699078,0.12960717,12.494591,0.12130671,14.204488,0.13790765,nan,nan,nan,nan,0.2165921208586869,0.1873072196860549
90, 26.991482,0.13102661,12.153363,0.11799382,14.83812,0.14405942,nan,nan,nan,nan,0.22381036853284403,0.196565049240047
100, 26.91402,0.13065058,12.872898,0.12497959,14.04112,0.13632154,nan,nan,nan,nan,0.2280754676052432,0.1924616725052593
110, 26.8447,0.13031408,11.922025,0.11574781,14.922678,0.14488037,nan,nan,nan,nan,0.22711296445129744,0.19964422356657402
120, 26.826199,0.13022426,12.51957,0.12154923,14.306626,0.13889928,nan,nan,nan,nan,0.22251544144436297,0.18491480015238482
