epoch,loss_train,ave_loss_train,loss_val,ave_loss_val,loss_test,ave_loss_test,auprc_avg_train,auprc_med_train,auprc_avg_val,auprc_med_val,auprc_avg_test,auprc_med_test
10, 26.643387,0.12933683,12.473799,0.121104844,14.169587,0.1375688,nan,nan,nan,nan,0.21349034595635896,0.18212391332741254
20, 29.04716,0.14100562,13.443068,0.13051522,15.604091,0.15149602,nan,nan,nan,nan,0.2166911432441287,0.19004046519115145
30, 26.47121,0.12850103,12.314189,0.119555235,14.1570215,0.1374468,nan,nan,nan,nan,0.21476279168001883,0.17965908429097843
40, 26.384457,0.12807989,11.685606,0.11345249,14.698852,0.1427073,nan,nan,nan,nan,0.2176882138539968,0.18761579003356982
50, 26.76002,0.129903,12.047949,0.116970375,14.7120695,0.14283563,nan,nan,nan,nan,0.22144307690851175,0.1825988914871078
60, 27.199915,0.13203843,13.152319,0.12769242,14.047596,0.13638443,nan,nan,nan,nan,0.22055930243707078,0.19202089814548606
70, 26.768267,0.12994304,12.191395,0.11836306,14.576872,0.14152303,nan,nan,nan,nan,0.22706066138046804,0.18491971808954877
80, 27.399664,0.13300808,12.202679,0.118472606,15.196988,0.14754358,nan,nan,nan,nan,0.22110287898354963,0.18857194477853786
90, 27.645575,0.13420182,12.13932,0.11785748,15.506255,0.15054616,nan,nan,nan,nan,0.22094484478418583,0.19883299770515483
100, 30.729,0.1491699,14.917546,0.14483054,15.811453,0.15350924,nan,nan,nan,nan,0.18927942897423153,0.17014373574501057
110, 25.949085,0.12596643,11.822565,0.114782184,14.12652,0.13715068,nan,nan,nan,nan,0.22684978200694586,0.19778801018557104
120, 26.563278,0.12894796,12.545223,0.121798284,14.018054,0.13609761,nan,nan,nan,nan,0.22223819233472236,0.19342633085935976
