epoch,loss_train,ave_loss_train,loss_val,ave_loss_val,loss_test,ave_loss_test,auprc_avg_train,auprc_med_train,auprc_avg_val,auprc_med_val,auprc_avg_test,auprc_med_test
10, 14.445128,0.14024396,4.5179925,0.15579285,3.7664893,0.12554964,0.20943839702181707,0.1818153293231951,0.20613264239058365,0.21643183047514727,0.1963566699402953,0.1877637684350899
20, 14.58184,0.14157125,4.6041126,0.1587625,3.8016498,0.12672167,0.21467140886238187,0.18413194692648238,0.21522101193271365,0.20044521300714688,0.19981037786423625,0.1828674444047339
30, 14.401423,0.13981965,4.5488853,0.15685812,3.7507665,0.12502556,0.20774577620472154,0.18428225663829584,0.20316901510768132,0.18364394619619176,0.19330133954329373,0.1775111545057981
40, 18.210768,0.17680357,5.1483593,0.17752963,5.380376,0.17934586,0.15732589598503877,0.13371352812945736,0.16342686835754697,0.1542051756035673,0.11585413789154782,0.09208623646560604
50, 14.442917,0.14022249,4.459855,0.1537881,3.859844,0.12866147,0.1903137513962525,0.16619461438653393,0.19948200318806422,0.19869829066013941,0.1853574519030362,0.19399224006319027
60, 14.92532,0.14490601,4.582505,0.15801743,4.0674577,0.13558193,0.18321484291936085,0.16976783947795543,0.18460601124155585,0.1889432161654879,0.17846863874823554,0.15922883458764983
70, 14.275094,0.13859315,4.4595237,0.15377668,3.8795168,0.12931722,0.20318229860300163,0.17841212836078027,0.19861838901944848,0.18665262680107159,0.1604215654975046,0.15937697122766345
80, 14.238002,0.13823302,4.4716806,0.15419589,3.8307264,0.12769088,0.2057499846096,0.1764029959849125,0.21600198976714227,0.20178605149687512,0.1635771345006762,0.15997098757378841
90, 22.799122,0.2213507,7.646499,0.26367238,5.169007,0.17230023,0.19470699279560774,0.17230218428169702,0.20054314368517467,0.19037941233675215,0.1988962645305158,0.18248248616214047
100, 16.345087,0.15869017,4.8136597,0.16598827,4.543717,0.15145724,0.16720900140627326,0.14612699258867853,0.17108536627752388,0.18303165175211245,0.15326074716142746,0.13567388989464932
110, 14.712073,0.14283566,4.8251433,0.16638425,3.8293855,0.12764618,0.22523748846155003,0.19720986929798476,0.20215819156539208,0.18809645220617333,0.19670551745842044,0.16847069070038384
120, 17.12063,0.16621971,4.905359,0.16915031,5.0920167,0.1697339,0.1504974318734966,0.12950555121873686,0.1682916179363397,0.16161288504717847,0.1123613657660416,0.08465043416713662
