epoch,loss_train,ave_loss_train,loss_val,ave_loss_val,loss_test,ave_loss_test,auprc_avg_train,auprc_med_train,auprc_avg_val,auprc_med_val,auprc_avg_test,auprc_med_test
10, 15.682713,0.15225935,5.102869,0.175961,4.1167183,0.13722394,0.1969981682147182,0.17548945260852888,0.18496729846032609,0.16919007202031258,0.1520957361828881,0.1340323612457804
20, 15.237564,0.14793752,4.8696647,0.16791947,3.852281,0.12840937,0.20107551973760426,0.1841688097158426,0.20305695963359752,0.1989338230019141,0.19066275797928608,0.17391266687480395
30, 14.575744,0.14151208,4.6547127,0.16050734,3.7424445,0.12474815,0.20261054105673795,0.18259869751335311,0.202474376593674,0.20753274165793947,0.20379107671006086,0.2027501394714853
40, 17.777855,0.17260054,5.8538837,0.20185806,4.297037,0.14323457,0.21351982020736487,0.1717480271782879,0.20102570161410557,0.19586417556455918,0.20963261366153899,0.196031949062295
50, 14.036016,0.136272,4.337979,0.14958547,3.7834046,0.12611349,0.21865025982263547,0.19690775186256937,0.20119522439250212,0.17803697278803493,0.18540344798011116,0.15562116671608245
60, 17.120354,0.16621703,5.620171,0.193799,4.2105107,0.14035036,0.2210639197350268,0.189531175788149,0.20647024049325333,0.2001541199049995,0.2114683253537356,0.2105648830569058
70, 14.405755,0.1398617,4.4902368,0.15483575,3.922452,0.1307484,0.19896290999799746,0.1679007921615586,0.17236324995084634,0.16398863820992518,0.16168963094853878,0.1527281282827494
80, 14.343109,0.13925348,4.4302945,0.15276878,3.939111,0.1313037,0.20643304668373022,0.17680861340423687,0.19829794892460337,0.1830245148796213,0.14444372010223577,0.13138521730890407
90, 14.252756,0.13837627,4.4807467,0.1545085,3.8228238,0.12742746,0.22078196367229205,0.19736674224421175,0.20659136992395505,0.19322006353090998,0.17141441032003285,0.1586886473583542
100, 14.271156,0.13855492,4.3529835,0.15010288,3.9673183,0.13224395,0.19571711937730002,0.17544569294162404,0.19810212972309338,0.19212501605215246,0.14329850131285368,0.11871142012145888
110, 14.091605,0.1368117,4.3347564,0.14947435,3.865689,0.1288563,0.21696641926359164,0.19369079916450027,0.20413849920786267,0.18441372915817555,0.17695713144243724,0.18615912915194777
120, 14.423376,0.14003278,4.633728,0.15978372,3.7783132,0.12594377,0.2202697481834524,0.19906483440335648,0.20550062242904268,0.20441467644096883,0.18822189255940597,0.16201383866895253
