epoch,loss_train,ave_loss_train,loss_val,ave_loss_val,loss_test,ave_loss_test,auprc_avg_train,auprc_med_train,auprc_avg_val,auprc_med_val,auprc_avg_test,auprc_med_test
10, 27.534086,0.13366061,12.931654,0.12555003,14.602431,0.14177118,nan,nan,nan,nan,0.19245749084252414,0.16950457894884252
20, 27.033098,0.13122863,12.497989,0.12133969,14.53511,0.14111757,nan,nan,nan,nan,0.19961454044224997,0.1765772606204155
30, 26.697523,0.12959963,12.189398,0.118343666,14.508126,0.1408556,nan,nan,nan,nan,0.20296067761861528,0.17656812952614354
40, 26.466717,0.12847921,11.980207,0.11631269,14.486509,0.14064573,nan,nan,nan,nan,0.20455677218848156,0.17474738132107867
50, 26.34489,0.12788782,11.877449,0.11531504,14.4674425,0.14046061,nan,nan,nan,nan,0.20640368305558704,0.17403803381627364
60, 26.229435,0.12732735,11.769312,0.114265166,14.460122,0.14038953,nan,nan,nan,nan,0.20867827402170264,0.1760202596560772
70, 26.107914,0.12673745,11.654534,0.11315082,14.45338,0.14032407,nan,nan,nan,nan,0.210000684608227,0.17986353352797346
80, 26.007725,0.12625109,11.560069,0.11223368,14.447657,0.1402685,nan,nan,nan,nan,0.21052047345270541,0.18141415764016106
90, 25.93201,0.12588355,11.49268,0.11157941,14.439333,0.1401877,nan,nan,nan,nan,0.21103969007491827,0.1827549166548571
100, 25.865513,0.12556075,11.427125,0.11094296,14.438388,0.14017852,nan,nan,nan,nan,0.21198288787001698,0.18370624100144173
110, 25.803677,0.12526056,11.367678,0.1103658,14.435996,0.1401553,nan,nan,nan,nan,0.2126608802528827,0.18350244748442784
120, 25.75019,0.12500092,11.313315,0.10983802,14.436874,0.14016382,nan,nan,nan,nan,0.21333562122358443,0.18373627133411186
