epoch,loss_train,ave_loss_train,loss_val,ave_loss_val,loss_test,ave_loss_test,auprc_avg_train,auprc_med_train,auprc_avg_val,auprc_med_val,auprc_avg_test,auprc_med_test
10, 28.83944,0.13999727,14.206923,0.13793129,14.632521,0.1420633,nan,nan,nan,nan,0.19951499839882927,0.16704224700144116
20, 28.078773,0.13630472,13.534492,0.13140284,14.544281,0.1412066,nan,nan,nan,nan,0.20366232614226476,0.17242686145264002
30, 27.589825,0.13393119,13.104263,0.12722586,14.485562,0.14063653,nan,nan,nan,nan,0.2059523201690716,0.1787621260584463
40, 27.22911,0.13218015,12.769578,0.123976484,14.459535,0.14038382,nan,nan,nan,nan,0.20742490273849384,0.18367333697799057
50, 26.949627,0.13082343,12.524966,0.12160161,14.424661,0.14004526,nan,nan,nan,nan,0.20889844279234554,0.1833622705724509
60, 26.717396,0.1296961,12.307874,0.11949392,14.409523,0.13989829,nan,nan,nan,nan,0.21063886460785722,0.18360106517033337
70, 26.531025,0.12879138,12.1294985,0.11776212,14.401526,0.13982065,nan,nan,nan,nan,0.21235211141121224,0.18536669320779486
80, 26.350204,0.12791361,11.96631,0.11617776,14.383896,0.13964948,nan,nan,nan,nan,0.2137473935356606,0.1856551949702506
90, 26.191694,0.12714414,11.814065,0.11469966,14.377629,0.13958864,nan,nan,nan,nan,0.21461894609729473,0.1860565527591994
100, 26.078928,0.12659673,11.709517,0.113684624,14.3694105,0.13950884,nan,nan,nan,nan,0.21548681890452034,0.1883643279190637
110, 25.974886,0.12609167,11.61214,0.11273922,14.362747,0.13944414,nan,nan,nan,nan,0.21565744834597567,0.18854493409789364
120, 25.897326,0.12571517,11.53193,0.111960486,14.365396,0.13946986,nan,nan,nan,nan,0.21599224248886548,0.18808825223640574
