epoch,loss_train,ave_loss_train,loss_val,ave_loss_val,loss_test,ave_loss_test,auprc_avg_train,auprc_med_train,auprc_avg_val,auprc_med_val,auprc_avg_test,auprc_med_test
10, 27.630535,0.13412881,13.0041895,0.12625426,14.626345,0.14200334,nan,nan,nan,nan,0.19709810581251602,0.16790161429705874
20, 27.098824,0.13154769,12.5498085,0.1218428,14.549014,0.14125256,nan,nan,nan,nan,0.20053408209149343,0.17491574208102947
30, 26.800919,0.13010155,12.2885,0.11930583,14.512421,0.14089729,nan,nan,nan,nan,0.20247023495269745,0.17435000681639942
40, 26.608242,0.12916623,12.11314,0.1176033,14.495101,0.14072913,nan,nan,nan,nan,0.20564065745979812,0.17857649652578658
50, 26.428526,0.12829381,11.960985,0.11612607,14.467542,0.14046156,nan,nan,nan,nan,0.2073499864084164,0.17951350646959593
60, 26.265877,0.12750426,11.815362,0.11471225,14.450514,0.14029625,nan,nan,nan,nan,0.20858399450553866,0.179326865944513
70, 26.145592,0.12692034,11.700965,0.1136016,14.444628,0.1402391,nan,nan,nan,nan,0.2098038526933772,0.17998924667567603
80, 26.030682,0.12636253,11.599032,0.112611964,14.43165,0.14011312,nan,nan,nan,nan,0.2104253496894991,0.1781766039795409
90, 25.937778,0.12591155,11.516948,0.11181503,14.420829,0.14000805,nan,nan,nan,nan,0.211888913105067,0.18101323943850264
100, 25.85218,0.12549601,11.446278,0.11112891,14.405902,0.13986312,nan,nan,nan,nan,0.21239399926599628,0.18173094278778498
110, 25.786137,0.12517542,11.389368,0.11057639,14.3967705,0.13977447,nan,nan,nan,nan,0.2132437216016233,0.18199149415795682
120, 25.737843,0.124940984,11.342704,0.11012334,14.395139,0.13975863,nan,nan,nan,nan,0.21359925711107186,0.18095456226520495
