epoch,loss_train,ave_loss_train,loss_val,ave_loss_val,loss_test,ave_loss_test,auprc_avg_train,auprc_med_train,auprc_avg_val,auprc_med_val,auprc_avg_test,auprc_med_test
10, 28.292522,0.13734235,13.569055,0.1317384,14.723468,0.14294629,nan,nan,nan,nan,0.18907761240700294,0.17305688800661115
20, 27.576046,0.1338643,12.939078,0.12562212,14.636968,0.14210649,nan,nan,nan,nan,0.19537815757256677,0.17716927346899627
30, 27.143278,0.13176349,12.574589,0.12208339,14.568689,0.14144358,nan,nan,nan,nan,0.1989042402527914,0.17950261457909183
40, 26.88607,0.1305149,12.3458185,0.11986232,14.540253,0.1411675,nan,nan,nan,nan,0.20317083984217293,0.18127536646381232
50, 26.633072,0.12928675,12.11654,0.11763631,14.516532,0.14093721,nan,nan,nan,nan,0.2063024424415883,0.18470268050051825
60, 26.453705,0.12841605,11.970722,0.1162206,14.482982,0.14061147,nan,nan,nan,nan,0.2073424061446316,0.18549240666258834
70, 26.2738,0.12754272,11.807145,0.11463248,14.466654,0.14045295,nan,nan,nan,nan,0.2083545998880908,0.18752159078272007
80, 26.15921,0.12698646,11.706471,0.11365506,14.452739,0.14031786,nan,nan,nan,nan,0.2098946926110776,0.18924437162061752
90, 26.09412,0.12667048,11.65193,0.11312553,14.442189,0.14021543,nan,nan,nan,nan,0.21162732018456348,0.18949857882638227
100, 25.989285,0.12616158,11.570399,0.112333976,14.418884,0.13998917,nan,nan,nan,nan,0.21224751954749532,0.19117107003327488
110, 25.91858,0.12581834,11.502962,0.11167924,14.415615,0.13995743,nan,nan,nan,nan,0.21434810475595725,0.19112970133187396
120, 25.843067,0.12545179,11.437645,0.1110451,14.405421,0.13985845,nan,nan,nan,nan,0.21500045700437512,0.19343555534406437
