epoch,loss_train,ave_loss_train,loss_val,ave_loss_val,loss_test,ave_loss_test,auprc_avg_train,auprc_med_train,auprc_avg_val,auprc_med_val,auprc_avg_test,auprc_med_test
10, 14.302524,0.13885945,4.4652696,0.15397482,3.7570035,0.12523346,0.2202474670009302,0.20303797447230318,0.2025814970304552,0.18162749088900498,0.17562637978557127,0.15613176280110738
20, 14.320288,0.13903192,4.5372715,0.15645763,3.7286477,0.12428825,0.2259152691385161,0.20759886608032635,0.20550637159145319,0.18668049587198426,0.1873696490179311,0.16228311596692824
30, 14.305693,0.13889022,4.593653,0.15840183,3.716891,0.12389637,0.2377852788075647,0.21912466645742382,0.21352092187663818,0.1796869860216273,0.18246450168338135,0.15470361025468468
40, 14.0703125,0.13660498,4.461258,0.15383647,3.7114215,0.12371405,0.24418690204288618,0.2206277512419283,0.21081460151893514,0.1803485823425359,0.18412884327525628,0.15748129031200422
50, 14.295428,0.13879056,4.6277866,0.15957884,3.7221754,0.124072514,0.24621192114296672,0.22696586087394116,0.21399448043806496,0.18803185741669626,0.18374088144591752,0.1525909421411719
60, 14.272541,0.13856836,4.642756,0.16009504,3.7194126,0.12398042,0.24833925195266973,0.2225700615362739,0.21570198778978006,0.19237022515572713,0.1836417363156645,0.15106053339151176
70, 14.004952,0.13597041,4.506767,0.15540574,3.68878,0.12295934,0.2521139130725764,0.23000640568590802,0.21559128711258665,0.18001863424215625,0.1828550227624905,0.1563082562193177
80, 13.923317,0.13517784,4.479532,0.15446661,3.6845396,0.122817986,0.25394320426298833,0.23748242055402144,0.21356877046762063,0.19711214948623387,0.18675688804567145,0.16488958857859537
90, 14.214627,0.13800609,4.6877804,0.1616476,3.729295,0.12430983,0.2551248155718433,0.2388339560180298,0.2119123943134125,0.18058042539023714,0.18650594067798718,0.1532942155063697
100, 13.99312,0.13585554,4.536217,0.15642129,3.7038298,0.12346099,0.2602491317393631,0.23251874743052445,0.21093862731828275,0.17688757074660982,0.18778384811907076,0.15135698416323062
110, 13.739389,0.13339213,4.428862,0.15271938,3.6677392,0.12225797,0.25621998751029046,0.2394165781391607,0.2114024831476166,0.17980544019217695,0.183894719871993,0.15434503233939084
120, 13.749466,0.13348997,4.474342,0.15428765,3.694127,0.12313757,0.25880473316012964,0.2355625733093352,0.21191522122679368,0.1819697329324571,0.17276220549156918,0.14162401477679792
