epoch,loss_train,ave_loss_train,loss_val,ave_loss_val,loss_test,ave_loss_test,auprc_avg_train,auprc_med_train,auprc_avg_val,auprc_med_val,auprc_avg_test,auprc_med_test
10, 14.502851,0.14080438,4.4906735,0.15485081,3.828765,0.1276255,0.21492802632118935,0.19528403455567211,0.20739483956864208,0.19912199450118157,0.17507711906914378,0.13910879746582766
20, 14.406077,0.13986483,4.5243144,0.15601084,3.7663798,0.125546,0.23282598338338675,0.21671319076166634,0.21922136420234287,0.18618426831093338,0.18864526045857946,0.16147121391739988
30, 14.290508,0.1387428,4.5008745,0.15520257,3.7539966,0.12513322,0.2329598303354576,0.21157219420518006,0.21744712760447824,0.19042218760712887,0.18017147453244278,0.14859484656183003
40, 14.100556,0.1368986,4.3858685,0.15123685,3.7609417,0.12536472,0.2366859675136398,0.2192461427901077,0.2188797577742449,0.1884610229722543,0.17988343619055297,0.13710437551529475
50, 14.178241,0.13765283,4.538378,0.15649578,3.7206516,0.124021724,0.24090142720044339,0.22123919166356262,0.22007026850448128,0.1857882371021857,0.1825289932467129,0.15757313764931924
60, 14.189839,0.13776544,4.505927,0.15537679,3.736416,0.124547206,0.24584514129937957,0.2264232447266054,0.22134589134992583,0.17593311289349645,0.182641049565021,0.14725903877819577
70, 14.045017,0.1363594,4.5045047,0.15532775,3.6979523,0.12326507,0.24257085071913945,0.22229504845864978,0.22156164249053328,0.1841436852514366,0.17766258660413323,0.15183293521787378
80, 14.0966835,0.13686101,4.565043,0.15741527,3.7077947,0.12359316,0.25195063397467454,0.22814572349363968,0.22317480047333915,0.1862992011190759,0.18559497420172094,0.13762264756961617
90, 14.000265,0.1359249,4.451449,0.15349823,3.723968,0.12413227,0.25241825326501904,0.23222944332217504,0.21766214169048356,0.18831081276946005,0.1776175792751568,0.13690906083001195
100, 13.866548,0.13462667,4.4776335,0.15440115,3.6689956,0.12229986,0.2582362450103909,0.23691362617968925,0.2232605331159424,0.18614315315480448,0.1824943581520275,0.14259445457770842
110, 14.017098,0.13608834,4.5616636,0.15729874,3.698156,0.12327187,0.25614069562840164,0.2351027516677454,0.21946683650544277,0.19093357621426607,0.18505005724252485,0.14098441552034416
120, 13.962041,0.13555379,4.573946,0.15772228,3.6938803,0.123129345,0.2587858072567634,0.2373580943098487,0.21955809739648685,0.18778125517928534,0.1846852267363914,0.14011383240887093
