epoch,loss_train,ave_loss_train,loss_val,ave_loss_val,loss_test,ave_loss_test,auprc_avg_train,auprc_med_train,auprc_avg_val,auprc_med_val,auprc_avg_test,auprc_med_test
10, 14.653338,0.14226542,4.596808,0.15851063,3.7864015,0.12621339,0.2146438409401455,0.1981196088097287,0.22331178968986032,0.19491363762511704,0.1778140530180026,0.1725196711357468
20, 14.214571,0.13800554,4.4332933,0.15287219,3.7322073,0.12440691,0.22014124643879968,0.20777247727589232,0.21412041093285514,0.19255304538122403,0.17307565883834392,0.17309937558194027
30, 14.128777,0.1371726,4.453123,0.15355597,3.673626,0.122454196,0.22609247713747427,0.20404705139918583,0.21335290481119773,0.17514878138469053,0.18304591700680745,0.17176577030161486
40, 14.220323,0.13806139,4.507928,0.15544578,3.7009711,0.12336571,0.23384222776745756,0.21112530067322538,0.21524965391967005,0.19251424570831127,0.1901457448414795,0.17599054837418548
50, 14.095725,0.1368517,4.490246,0.15483606,3.6703162,0.122343875,0.23772957938277936,0.21398948663400977,0.21328441892440353,0.1792665412770113,0.18969386762279133,0.17435523683098356
60, 14.232069,0.13817543,4.5688643,0.15754704,3.707317,0.12357724,0.2409303384863471,0.2258109552373152,0.21483200730000815,0.18892803273867678,0.18996320035767797,0.17158853437697041
70, 13.93546,0.13529573,4.433847,0.15289128,3.6794827,0.122649424,0.2467010461409525,0.2263333124186839,0.2132729321305101,0.18742548355311997,0.18711832082424448,0.164921012203764
80, 13.999537,0.13591784,4.4998984,0.1551689,3.6824293,0.122747645,0.24795345747232247,0.2269336403012754,0.21427895032949712,0.1777305715042523,0.19116522618515547,0.1674434169901795
90, 13.897984,0.13493188,4.4497113,0.15343831,3.6810336,0.12270112,0.2536873173067192,0.22998997696375253,0.21168613727363217,0.17586899197612582,0.19093524843724113,0.16381079810785737
100, 13.921318,0.13515843,4.4972806,0.15507863,3.684198,0.122806594,0.25078421544092583,0.23199541797619683,0.21261024153465372,0.1774967325653957,0.18928007822688633,0.16690609236702902
110, 13.800183,0.13398236,4.407996,0.15199986,3.6842363,0.122807875,0.25337799094886965,0.2341706941963133,0.21414235723391517,0.1746194538313706,0.18585451717092555,0.1616099895344309
120, 13.862368,0.1345861,4.5077205,0.15543863,3.6842008,0.12280669,0.26040046078747225,0.2362984765525534,0.21196557098704133,0.181727967501941,0.19094846268647517,0.1616872753579154
