epoch,loss_train,ave_loss_train,loss_val,ave_loss_val,loss_test,ave_loss_test,auprc_avg_train,auprc_med_train,auprc_avg_val,auprc_med_val,auprc_avg_test,auprc_med_test
10, 14.371636,0.13953045,4.4174337,0.1523253,3.8351357,0.12783785,0.20689847528315977,0.1993456563097727,0.20329414318468803,0.1804071424030964,0.173869481677282,0.15591480223377846
20, 14.278927,0.13863036,4.456145,0.15366016,3.770451,0.1256817,0.21900694669434823,0.20839171122885103,0.2052093819040659,0.1799981232534904,0.17827482579503462,0.16758433194560252
30, 14.212607,0.13798648,4.4297233,0.15274908,3.74339,0.12477967,0.22989768990184586,0.2228785424137615,0.20482530507013916,0.18943107077165253,0.1904134367774404,0.1769927301912743
40, 14.177858,0.1376491,4.4944234,0.15498012,3.6998153,0.12332717,0.23626726578290075,0.224334085996735,0.21129596566607992,0.19502218621435946,0.19050782648545253,0.16278277195851382
50, 14.17144,0.1375868,4.534557,0.15636402,3.6962602,0.12320867,0.23892099125163638,0.22172546731443224,0.20892771877585994,0.1911913640400365,0.18829126446036676,0.15622680352878876
60, 14.105871,0.13695021,4.529339,0.15618409,3.7104719,0.123682395,0.24513498839906556,0.2221775954908123,0.21216070776936188,0.19168213939104006,0.18415004377937197,0.16674966361207774
70, 13.953691,0.13547273,4.442169,0.15317824,3.6854513,0.12284838,0.2487641315194814,0.2265819380674294,0.21365577349560538,0.18218053120349828,0.18641787926169828,0.15804160432572656
80, 13.91617,0.13510844,4.4972105,0.15507622,3.6573446,0.12191149,0.2504204760402852,0.23680103651943352,0.20975467047374732,0.17320664095549487,0.19211020439802207,0.1639996882237118
90, 14.153544,0.13741305,4.631194,0.15969636,3.7163045,0.12387682,0.25449936890825803,0.24649189805838279,0.21492750669889407,0.18367246948687327,0.1934512908350063,0.1605440789309344
100, 13.739566,0.13339384,4.386357,0.15125369,3.6763306,0.122544356,0.256105652574594,0.24054265393445923,0.21646100720562914,0.1920799399447311,0.18523496468667175,0.1559355781436091
110, 14.153796,0.1374155,4.634198,0.15979993,3.735904,0.12453013,0.25932325052974914,0.2428892347106359,0.2188581800569084,0.18237544866048147,0.19392657731447813,0.15767969719746305
120, 13.795485,0.13393675,4.4422283,0.15318029,3.6845918,0.12281973,0.25957931529632694,0.2475449838803876,0.22400253738589898,0.18791617806698951,0.18967856408159423,0.15142546473283408
